Time Base:5.00μs
Sampling Rate:200MSa/s
Amplitude:500.00mV
1.00VAmplitude resolution:20.00mV
40.00mVData Uint:mv
Data points:32000
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.64E+03
1.78E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.78E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.68E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.82E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.68E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.78E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.82E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.78E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.78E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.68E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.68E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.78E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
1.80E+03,3.64E+03
1.80E+03,3.60E+03
1.80E+03,3.64E+03
